area_type,availability,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,Ready To Move,5th Block Hbr Layout,1206.0,2.0,2.0,56.0,2,4643.449419568822
Super built-up  Area,Ready To Move,5th Block Hbr Layout,1270.0,2.0,2.0,70.0,3,5511.811023622047
Super built-up  Area,Ready To Move,5th Block Hbr Layout,1312.0,2.0,3.0,69.0,2,5259.1463414634145
Super built-up  Area,Ready To Move,5th Block Hbr Layout,1100.0,2.0,2.0,48.0,2,4363.636363636364
Built-up  Area,Ready To Move,5th Phase JP Nagar,600.0,1.0,1.0,30.0,1,5000.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2,6208.053691275168
Super built-up  Area,Ready To Move,6th Phase JP Nagar,1180.0,2.0,3.0,80.0,2,6779.661016949152
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3245.0,4.0,0.0,250.0,4,7704.160246533128
Built-up  Area,Ready To Move,6th Phase JP Nagar,1645.0,3.0,3.0,100.0,3,6079.0273556231
Built-up  Area,Ready To Move,6th Phase JP Nagar,1140.0,2.0,2.0,65.0,2,5701.754385964912
Super built-up  Area,Ready To Move,6th Phase JP Nagar,1460.0,2.0,0.0,80.0,2,5479.45205479452
Super built-up  Area,Ready To Move,6th Phase JP Nagar,1810.0,3.0,3.0,131.0,3,7237.5690607734805
Super built-up  Area,Ready To Move,6th Phase JP Nagar,1192.0,2.0,3.0,75.0,2,6291.946308724832
Super built-up  Area,Ready To Move,6th Phase JP Nagar,1280.0,2.0,1.0,88.0,2,6875.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2,6666.666666666667
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2,7322.834645669292
Built-up  Area,Ready To Move,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3,7042.2535211267605
Built-up  Area,Ready To Move,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2,7550.2008032128515
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2,6978.723404255319
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3,6785.714285714285
Super built-up  Area,19-Dec,7th Phase JP Nagar,2225.0,3.0,1.0,160.0,3,7191.011235955056
Built-up  Area,Ready To Move,7th Phase JP Nagar,1050.0,2.0,1.0,71.0,2,6761.9047619047615
Built-up  Area,Ready To Move,7th Phase JP Nagar,918.0,2.0,1.0,50.49,2,5500.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1450.0,2.0,1.0,100.0,3,6896.551724137931
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1420.0,2.0,2.0,96.0,3,6760.56338028169
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3,7142.857142857143
Super built-up  Area,Ready To Move,7th Phase JP Nagar,980.0,2.0,2.0,69.0,2,7040.816326530612
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1180.0,2.0,2.0,72.0,2,6101.6949152542375
Built-up  Area,Ready To Move,7th Phase JP Nagar,1050.0,2.0,1.0,57.0,3,5428.571428571428
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1270.0,2.0,1.0,83.0,2,6535.433070866142
Super built-up  Area,19-Dec,7th Phase JP Nagar,2503.0,4.0,0.0,188.0,4,7510.986815821015
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3,6984.126984126984
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1850.0,3.0,2.0,140.0,3,7567.5675675675675
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3,7142.857142857143
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1175.0,2.0,2.0,82.5,2,7021.276595744681
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1215.0,2.0,2.0,90.0,2,7407.407407407408
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2,7142.857142857143
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1300.0,3.0,2.0,89.13,3,6856.153846153846
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1130.0,2.0,2.0,73.0,2,6460.1769911504425
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1450.0,3.0,2.0,100.0,3,6896.551724137931
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1275.0,2.0,1.0,87.0,2,6823.529411764706
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1650.0,3.0,2.0,110.0,3,6666.666666666667
Built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3,6964.285714285715
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1000.0,2.0,2.0,53.0,2,5300.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3,7440.476190476191
Built-up  Area,Ready To Move,7th Phase JP Nagar,1000.0,2.0,1.0,61.0,2,6100.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1460.0,2.0,2.0,100.0,3,6849.315068493151
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1650.0,3.0,3.0,110.0,3,6666.666666666667
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1000.0,2.0,1.0,70.65,2,7065.000000000001
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1080.0,2.0,2.0,75.0,2,6944.444444444444
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,3.0,125.0,3,7440.476190476191
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1460.0,2.0,1.0,97.0,3,6643.835616438356
Built-up  Area,Ready To Move,7th Phase JP Nagar,1120.0,2.0,2.0,65.0,2,5803.571428571428
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1100.0,3.0,1.0,60.0,2,5454.545454545455
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1790.0,3.0,3.0,120.0,3,6703.91061452514
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3,6964.285714285715
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1050.0,2.0,1.0,77.0,2,7333.333333333333
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2,7142.857142857143
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1040.0,2.0,1.0,75.0,2,7211.538461538462
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3,6785.714285714285
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1800.0,3.0,2.0,130.0,3,7222.222222222223
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1050.0,2.0,0.0,68.0,2,6476.190476190476
Built-up  Area,Ready To Move,7th Phase JP Nagar,1000.0,2.0,2.0,60.0,2,6000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3,7440.476190476191
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1050.0,2.0,1.0,77.47,2,7378.0952380952385
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1270.0,2.0,1.0,80.0,2,6299.212598425197
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,122.0,3,7261.9047619047615
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1130.0,2.0,2.0,85.0,2,7522.123893805309
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,2.0,112.0,3,6666.666666666667
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2095.0,3.0,2.0,150.0,3,7159.904534606205
Super built-up  Area,19-Dec,7th Phase JP Nagar,1976.0,3.0,1.0,145.0,3,7338.056680161943
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1600.0,2.0,2.0,110.0,3,6875.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1765.0,3.0,2.0,118.0,3,6685.552407932011
Built-up  Area,Ready To Move,7th Phase JP Nagar,1275.0,2.0,2.0,88.0,3,6901.9607843137255
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1450.0,2.0,1.0,102.0,3,7034.482758620689
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3,6984.126984126984
Built-up  Area,Ready To Move,7th Phase JP Nagar,1075.0,2.0,1.0,57.0,3,5302.325581395349
Super built-up  Area,Ready To Move,7th Phase JP Nagar,750.0,1.0,2.0,47.0,1,6266.666666666667
Plot  Area,Ready To Move,7th Phase JP Nagar,1000.0,1.0,1.0,60.0,1,6000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,2.0,3.0,92.0,3,5476.190476190476
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1430.0,2.0,1.0,102.0,3,7132.867132867133
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1128.0,2.0,1.0,60.0,2,5319.148936170212
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1420.0,3.0,2.0,90.0,3,6338.028169014085
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1530.0,2.0,1.0,108.0,2,7058.823529411765
Super built-up  Area,19-Mar,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2,5030.740568234746
Super built-up  Area,Ready To Move,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2,3999.0583804143125
Super built-up  Area,Ready To Move,8th Phase JP Nagar,1098.0,2.0,1.0,43.91,2,3999.089253187614
Built-up  Area,Ready To Move,8th Phase JP Nagar,2700.0,4.0,2.0,130.0,4,4814.814814814815
Super built-up  Area,18-Oct,8th Phase JP Nagar,1080.0,2.0,2.0,38.0,2,3518.5185185185187
Super built-up  Area,Ready To Move,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2,3999.0583804143125
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2100.0,4.0,3.0,92.0,4,4380.952380952381
Super built-up  Area,Ready To Move,8th Phase JP Nagar,1035.0,2.0,1.0,39.33,2,3800.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,909.0,2.0,1.0,40.9,2,4499.4499449945
Super built-up  Area,Ready To Move,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2,3999.0817263544536
Built-up  Area,Ready To Move,8th Phase JP Nagar,2600.0,4.0,2.0,115.0,4,4423.076923076923
Super built-up  Area,Ready To Move,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2,3999.0817263544536
Super built-up  Area,Ready To Move,8th Phase JP Nagar,1513.0,2.0,3.0,62.0,2,4097.818902842036
Built-up  Area,Ready To Move,8th Phase JP Nagar,1298.0,2.0,1.0,59.0,2,4545.454545454545
Built-up  Area,Ready To Move,8th Phase JP Nagar,1006.0,2.0,0.0,44.0,2,4373.75745526839
Super built-up  Area,18-Mar,8th Phase JP Nagar,1245.0,2.0,1.0,59.0,2,4738.955823293173
Super built-up  Area,Ready To Move,8th Phase JP Nagar,1510.0,2.0,3.0,80.0,2,5298.013245033113
Super built-up  Area,18-Jun,8th Phase JP Nagar,1046.0,2.0,1.0,48.0,2,4588.910133843212
Super built-up  Area,Ready To Move,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2,4975.124378109453
Built-up  Area,Ready To Move,9th Phase JP Nagar,1035.0,2.0,1.0,45.0,2,4347.826086956522
Built-up  Area,Ready To Move,9th Phase JP Nagar,1164.0,2.0,1.0,56.0,2,4810.996563573884
Super built-up  Area,Ready To Move,9th Phase JP Nagar,1005.0,2.0,1.0,42.0,2,4179.104477611941
Super built-up  Area,19-Dec,9th Phase JP Nagar,1127.0,2.0,1.0,50.0,2,4436.557231588287
Super built-up  Area,Ready To Move,9th Phase JP Nagar,1005.0,2.0,1.0,43.0,2,4278.606965174129
Built-up  Area,Ready To Move,9th Phase JP Nagar,835.0,2.0,0.0,37.0,2,4431.137724550898
Super built-up  Area,Ready To Move,9th Phase JP Nagar,660.0,2.0,0.0,27.0,2,4090.909090909091
Super built-up  Area,18-Mar,9th Phase JP Nagar,1466.0,2.0,2.0,71.0,2,4843.110504774898
Super built-up  Area,21-Sep,9th Phase JP Nagar,1480.0,2.0,1.0,80.0,2,5405.405405405405
Super built-up  Area,21-Sep,9th Phase JP Nagar,1073.0,2.0,1.0,52.36,2,4879.77632805219
Built-up  Area,Ready To Move,9th Phase JP Nagar,890.0,2.0,2.0,45.0,2,5056.179775280899
Super built-up  Area,Ready To Move,9th Phase JP Nagar,1331.95,2.0,2.0,69.0,2,5180.374638687638
Super built-up  Area,Ready To Move,AECS Layout,1199.0,2.0,2.0,65.0,2,5421.184320266889
Super built-up  Area,Ready To Move,AECS Layout,1080.0,2.0,2.0,55.0,2,5092.592592592592
Super built-up  Area,Ready To Move,AECS Layout,1308.0,2.0,1.0,60.0,2,4587.155963302752
Super built-up  Area,Ready To Move,AECS Layout,1005.0,2.0,1.0,55.0,2,5472.636815920398
Super built-up  Area,Ready To Move,Abbigere,985.0,2.0,1.0,40.39,2,4100.507614213198
Super built-up  Area,Ready To Move,Abbigere,765.0,2.0,2.0,30.0,1,3921.5686274509803
Super built-up  Area,21-Dec,Abbigere,880.0,2.0,1.0,35.0,2,3977.2727272727275
Super built-up  Area,Ready To Move,Abbigere,795.0,2.0,1.0,32.54,2,4093.0817610062895
Super built-up  Area,Ready To Move,Abbigere,1005.0,2.0,1.0,39.59,2,3939.303482587065
Super built-up  Area,Ready To Move,Abbigere,1020.0,2.0,1.0,41.82,2,4100.0
Super built-up  Area,Ready To Move,Abbigere,985.0,2.0,1.0,40.39,2,4100.507614213198
Built-up  Area,Ready To Move,Abbigere,2500.0,6.0,0.0,81.0,6,3240.0
Super built-up  Area,Ready To Move,Abbigere,795.0,2.0,1.0,32.54,2,4093.0817610062895
Super built-up  Area,Ready To Move,Abbigere,1130.0,2.0,1.0,46.33,2,4100.0
Super built-up  Area,Ready To Move,Abbigere,795.0,1.0,1.0,32.6,2,4100.62893081761
Super built-up  Area,Ready To Move,Abbigere,985.0,2.0,1.0,38.92,2,3951.269035532995
Super built-up  Area,Ready To Move,Abbigere,1000.0,2.0,1.0,41.0,2,4100.0
Super built-up  Area,Ready To Move,Abbigere,995.0,2.0,1.0,40.8,2,4100.5025125628135
Super built-up  Area,Ready To Move,Abbigere,1020.0,2.0,1.0,40.8,2,3999.9999999999995
Super built-up  Area,Ready To Move,Akshaya Nagar,1070.0,2.0,1.0,54.0,2,5046.728971962617
Built-up  Area,Ready To Move,Akshaya Nagar,1662.0,3.0,3.0,85.1,3,5120.336943441636
Super built-up  Area,Ready To Move,Akshaya Nagar,1410.0,2.0,2.0,75.0,3,5319.148936170212
Built-up  Area,Ready To Move,Akshaya Nagar,1662.0,3.0,2.0,85.0,3,5114.320096269555
Built-up  Area,Ready To Move,Akshaya Nagar,1662.0,3.0,2.0,85.5,3,5144.404332129964
Built-up  Area,Ready To Move,Akshaya Nagar,1280.0,2.0,1.0,60.0,2,4687.5
Super built-up  Area,Ready To Move,Akshaya Nagar,1430.0,2.0,2.0,75.0,3,5244.755244755244
Built-up  Area,Ready To Move,Akshaya Nagar,1419.0,2.0,3.0,73.0,3,5144.46793516561
Super built-up  Area,Ready To Move,Akshaya Nagar,1280.0,2.0,1.0,60.0,2,4687.5
Super built-up  Area,18-May,Akshaya Nagar,1092.0,2.0,1.0,60.0,2,5494.505494505494
Super built-up  Area,Ready To Move,Akshaya Nagar,1690.0,3.0,2.0,85.0,3,5029.585798816568
Super built-up  Area,Ready To Move,Akshaya Nagar,1700.0,3.0,1.0,80.0,3,4705.882352941177
Super built-up  Area,Ready To Move,Akshaya Nagar,1897.0,4.0,2.0,93.0,3,4902.477596204533
Super built-up  Area,Ready To Move,Akshaya Nagar,1884.0,3.0,3.0,98.0,3,5201.698513800425
Super built-up  Area,Ready To Move,Akshaya Nagar,1314.0,2.0,2.0,68.8,2,5235.920852359209
Super built-up  Area,Ready To Move,Akshaya Nagar,1690.0,3.0,2.0,85.0,3,5029.585798816568
Super built-up  Area,Ready To Move,Akshaya Nagar,1265.0,2.0,3.0,67.0,2,5296.442687747036
Super built-up  Area,Ready To Move,Akshaya Nagar,1126.0,2.0,1.0,55.0,2,4884.547069271758
Super built-up  Area,Ready To Move,Akshaya Nagar,1662.0,3.0,0.0,90.0,3,5415.162454873646
Super built-up  Area,Ready To Move,Akshaya Nagar,1420.0,2.0,2.0,75.0,3,5281.69014084507
Super built-up  Area,Ready To Move,Akshaya Nagar,1890.0,4.0,2.0,100.0,3,5291.005291005291
Built-up  Area,Ready To Move,Akshaya Nagar,2650.0,3.0,2.0,125.0,3,4716.981132075472
Super built-up  Area,Ready To Move,Akshaya Nagar,1690.0,3.0,2.0,85.0,3,5029.585798816568
Super built-up  Area,Ready To Move,Akshaya Nagar,1113.0,2.0,1.0,52.0,2,4672.057502246182
Super built-up  Area,Ready To Move,Akshaya Nagar,1820.0,4.0,2.0,95.0,3,5219.780219780219
Super built-up  Area,Ready To Move,Akshaya Nagar,1896.0,3.0,2.0,102.0,3,5379.7468354430375
Super built-up  Area,Ready To Move,Akshaya Nagar,1300.0,2.0,2.0,66.0,2,5076.923076923077
Super built-up  Area,Ready To Move,Akshaya Nagar,1225.0,2.0,0.0,68.0,2,5551.0204081632655
Super built-up  Area,Ready To Move,Akshaya Nagar,1421.0,2.0,2.0,73.0,3,5137.227304714989
Super built-up  Area,Ready To Move,Akshaya Nagar,1893.0,4.0,2.0,95.0,3,5018.489170628632
Built-up  Area,Ready To Move,Akshaya Nagar,900.0,2.0,1.0,45.0,2,5000.0
Super built-up  Area,Ready To Move,Ambalipura,1800.0,3.0,3.0,110.0,3,6111.111111111111
Super built-up  Area,Ready To Move,Ambalipura,1250.0,2.0,2.0,66.25,2,5300.0
Super built-up  Area,Ready To Move,Ambalipura,1332.0,2.0,1.0,79.0,2,5930.930930930931
Built-up  Area,Ready To Move,Ambalipura,3500.0,3.0,0.0,198.0,3,5657.142857142857
Super built-up  Area,Ready To Move,Ambalipura,1230.0,2.0,2.0,66.25,2,5386.178861788618
Super built-up  Area,Ready To Move,Ambalipura,1351.0,2.0,1.0,77.0,2,5699.481865284974
Built-up  Area,Ready To Move,Ambalipura,1817.0,3.0,3.0,102.0,3,5613.648871766648
Super built-up  Area,Ready To Move,Ambalipura,1303.0,2.0,2.0,80.0,2,6139.677666922486
Super built-up  Area,Ready To Move,Ambalipura,770.0,1.0,2.0,43.82,1,5690.909090909091
Super built-up  Area,Ready To Move,Ambalipura,1060.0,2.0,1.0,58.5,2,5518.867924528302
Built-up  Area,Ready To Move,Ambalipura,1650.0,3.0,3.0,100.0,3,6060.606060606061
Super built-up  Area,Ready To Move,Ambalipura,1198.0,2.0,2.0,80.0,2,6677.79632721202
Super built-up  Area,Ready To Move,Ambedkar Nagar,1935.0,4.0,2.0,130.0,3,6718.3462532299745
Super built-up  Area,Ready To Move,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2,6320.224719101124
Super built-up  Area,Ready To Move,Ambedkar Nagar,1862.0,3.0,2.0,120.0,3,6444.68313641246
Super built-up  Area,Ready To Move,Ambedkar Nagar,1936.0,4.0,2.0,126.0,3,6508.264462809917
Super built-up  Area,Ready To Move,Ambedkar Nagar,1862.0,3.0,2.0,119.0,3,6390.977443609023
Super built-up  Area,Ready To Move,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2,6320.224719101124
Super built-up  Area,Ready To Move,Ambedkar Nagar,1856.0,3.0,1.0,120.0,3,6465.517241379311
Super built-up  Area,Ready To Move,Ambedkar Nagar,1852.0,3.0,2.0,130.0,3,7019.438444924406
Super built-up  Area,Ready To Move,Ambedkar Nagar,1850.0,4.0,2.0,120.0,3,6486.486486486487
Super built-up  Area,Ready To Move,Ambedkar Nagar,1367.0,2.0,2.0,86.0,2,6291.148500365764
Super built-up  Area,Ready To Move,Ambedkar Nagar,1409.0,2.0,2.0,95.0,2,6742.370475514549
Super built-up  Area,Ready To Move,Ambedkar Nagar,1950.0,4.0,2.0,120.0,3,6153.846153846154
Super built-up  Area,Ready To Move,Ambedkar Nagar,1921.0,4.0,3.0,129.0,3,6715.252472670484
Super built-up  Area,Ready To Move,Ambedkar Nagar,1920.0,4.0,2.0,121.0,3,6302.083333333333
Super built-up  Area,Ready To Move,Ambedkar Nagar,1935.0,4.0,2.0,125.0,3,6459.948320413437
Super built-up  Area,Ready To Move,Ambedkar Nagar,1852.0,4.0,2.0,122.0,3,6587.473002159827
Super built-up  Area,Ready To Move,Ambedkar Nagar,1950.0,4.0,2.0,120.0,3,6153.846153846154
Super built-up  Area,Ready To Move,Ambedkar Nagar,1852.0,3.0,2.0,125.0,3,6749.460043196545
Super built-up  Area,Ready To Move,Ambedkar Nagar,1850.0,4.0,2.0,121.0,3,6540.540540540541
Super built-up  Area,Ready To Move,Ambedkar Nagar,1425.0,2.0,1.0,94.0,2,6596.491228070176
Built-up  Area,Ready To Move,Ambedkar Nagar,2395.0,4.0,2.0,150.0,3,6263.048016701461
Super built-up  Area,Ready To Move,Amruthahalli,900.0,2.0,1.0,40.0,2,4444.444444444444
Super built-up  Area,Ready To Move,Amruthahalli,1200.0,2.0,2.0,55.0,2,4583.333333333333
Built-up  Area,Ready To Move,Amruthahalli,924.0,2.0,1.0,45.0,2,4870.12987012987
Super built-up  Area,Ready To Move,Amruthahalli,1200.0,2.0,1.0,55.0,2,4583.333333333333
Super built-up  Area,Ready To Move,Amruthahalli,1350.0,2.0,3.0,63.0,3,4666.666666666667
Super built-up  Area,Ready To Move,Amruthahalli,1700.0,3.0,2.0,77.0,3,4529.411764705882
Super built-up  Area,Ready To Move,Amruthahalli,1450.0,2.0,1.0,85.0,3,5862.068965517241
Super built-up  Area,Ready To Move,Amruthahalli,1200.0,2.0,2.0,55.0,2,4583.333333333333
Super built-up  Area,Ready To Move,Amruthahalli,1190.0,2.0,2.0,50.0,2,4201.680672268908
Super built-up  Area,Ready To Move,Amruthahalli,1202.0,2.0,1.0,65.0,2,5407.65391014975
Super built-up  Area,Ready To Move,Amruthahalli,1340.0,2.0,1.0,75.0,2,5597.014925373134
Super built-up  Area,17-Jul,Anandapura,1167.0,2.0,1.0,43.76,2,3749.7857754927163
Super built-up  Area,17-Jul,Anandapura,1141.0,2.0,1.0,42.79,2,3750.219106047327
Plot  Area,Ready To Move,Anandapura,1200.0,2.0,1.0,58.0,2,4833.333333333333
Super built-up  Area,Ready To Move,Anandapura,1151.0,2.0,1.0,43.1,2,3744.5699391833186
Super built-up  Area,Ready To Move,Anandapura,1141.0,2.0,1.0,42.75,2,3746.7134092900965
Plot  Area,Ready To Move,Anandapura,1749.0,4.0,0.0,90.0,4,5145.797598627787
Super built-up  Area,Ready To Move,Anandapura,1151.0,2.0,1.0,42.9,2,3727.193744569939
Super built-up  Area,17-Jul,Anandapura,1151.0,2.0,1.0,43.16,2,3749.7827975673326
Built-up  Area,Ready To Move,Anandapura,1200.0,2.0,0.0,58.0,2,4833.333333333333
Super built-up  Area,Ready To Move,Anandapura,1200.0,2.0,1.0,50.0,2,4166.666666666667
Super built-up  Area,Ready To Move,Anandapura,1141.0,2.0,1.0,50.0,2,4382.120946538124
Super built-up  Area,18-Jun,Ananth Nagar,500.0,1.0,1.0,14.0,1,2800.0
Super built-up  Area,Ready To Move,Ananth Nagar,1100.0,2.0,2.0,31.5,2,2863.6363636363635
Super built-up  Area,18-Jun,Ananth Nagar,500.0,2.0,2.0,14.0,1,2800.0
Super built-up  Area,Ready To Move,Ananth Nagar,908.0,2.0,1.0,26.0,2,2863.4361233480176
Super built-up  Area,18-Aug,Ananth Nagar,500.0,1.0,1.0,14.0,1,2800.0
Super built-up  Area,18-Apr,Ananth Nagar,1000.0,2.0,1.0,29.7,2,2970.0
